food_type,temperature,humidity,gas_ppm,days_since_added,weight,amount_status,spoilage_status
sashimi,2.2,80.2,378,8.1,225.5,not_sufficient,near_spoiled
hummus,4.9,77.0,224,3.0,494.9,sufficient,near_spoiled
strawberry_shortcake,6.5,64.1,200,1.5,169.6,not_sufficient,fine
carrot_cake,8.0,62.1,124,0.0,341.7,sufficient,fine
edamame,4.3,65.6,138,2.3,519.2,sufficient,fine
sushi,6.8,86.4,148,3.5,367.5,sufficient,fine
filet_mignon,1.3,66.4,266,4.1,316.2,sufficient,near_spoiled
pancakes,5.2,88.2,305,4.4,512.8,sufficient,near_spoiled
donuts,6.4,80.7,123,0.0,447.6,sufficient,fine
fried_calamari,-0.7,82.5,370,4.0,160.4,not_sufficient,near_spoiled
beef_salad,1.2,68.5,189,0.0,530.8,sufficient,fine
greek_salad,2.9,85.5,148,0.9,434.6,sufficient,fine
breakfast_burrito,4.7,67.9,130,5.0,102.8,not_sufficient,fine
nachos,6.0,77.5,262,5.4,204.9,not_sufficient,near_spoiled
seaweed_salad,3.2,61.2,101,2.5,406.2,sufficient,fine
filet_mignon,3.3,61.5,153,3.4,215.0,not_sufficient,fine
donuts,5.1,88.6,300,4.1,438.6,sufficient,near_spoiled
donuts,5.5,63.5,273,4.5,307.7,sufficient,near_spoiled
deviled_eggs,5.4,87.5,290,3.6,136.5,not_sufficient,near_spoiled
spaghetti_carbonara,5.6,74.5,150,3.4,178.1,not_sufficient,fine
carrot_cake,4.6,68.0,302,2.9,102.8,not_sufficient,near_spoiled
donuts,6.4,81.1,124,0.0,135.0,not_sufficient,fine
french_toast,5.2,73.5,317,3.2,318.1,sufficient,near_spoiled
omelette,6.2,63.0,304,3.7,214.6,not_sufficient,near_spoiled
deviled_eggs,6.5,60.0,115,2.7,173.7,not_sufficient,fine
beef_salad,-0.2,68.7,159,0.0,523.8,sufficient,fine
dumplings,5.3,78.9,237,6.0,165.0,not_sufficient,near_spoiled
ramen,4.1,78.5,174,2.2,257.9,not_sufficient,fine
cheececake,3.5,69.4,167,3.7,597.0,sufficient,fine
cheese_plate,1.9,74.1,165,2.3,111.4,not_sufficient,fine
greek_salad,2.6,70.1,252,2.0,594.8,sufficient,near_spoiled
garlic_bread,4.3,89.3,194,0.4,558.3,sufficient,fine
donuts,7.4,64.4,175,2.1,473.4,sufficient,fine
french_onion_soup,4.4,88.7,705,6.1,241.4,not_sufficient,spoiled
chicken_curry,1.7,69.0,350,3.6,543.2,sufficient,near_spoiled
beef_salad,0.6,73.7,279,3.1,408.1,sufficient,near_spoiled
deviled_eggs,6.3,87.1,118,2.8,391.3,sufficient,fine
filet_mignon,3.9,81.3,163,2.8,306.9,sufficient,fine
pancakes,6.9,82.4,187,2.4,576.3,sufficient,fine
nachos,5.8,61.6,397,6.8,531.4,sufficient,near_spoiled
seaweed_salad,2.6,71.6,102,1.9,420.4,sufficient,fine
hummus,3.7,78.1,384,3.2,315.0,sufficient,near_spoiled
caesar_salad,2.6,88.1,245,4.3,130.2,not_sufficient,near_spoiled
sushi,4.8,72.0,161,1.8,219.9,not_sufficient,fine
ramen,6.5,75.9,141,0.0,472.5,sufficient,fine
filet_mignon,2.6,85.9,274,3.8,374.6,sufficient,near_spoiled
sashimi,-0.6,66.1,170,4.8,370.3,sufficient,fine
lobster_roll_sandwich,-0.5,65.9,338,3.7,347.6,sufficient,near_spoiled
seaweed_salad,4.0,76.2,230,5.9,541.4,sufficient,near_spoiled
hummus,4.6,63.0,183,0.1,285.1,not_sufficient,fine
caesar_salad,3.4,83.0,199,0.0,489.9,sufficient,fine
baklava,5.2,74.7,235,5.7,478.9,sufficient,near_spoiled
pancakes,6.6,62.9,116,1.3,424.0,sufficient,fine
baklava,6.1,65.0,136,2.3,387.7,sufficient,fine
garlic_bread,4.7,71.6,380,4.1,109.2,not_sufficient,near_spoiled
cheececake,2.6,65.3,178,2.5,288.8,not_sufficient,fine
filet_mignon,2.1,61.8,135,3.5,417.4,sufficient,fine
beef_salad,1.3,79.4,103,2.5,428.8,sufficient,fine
pizza,4.8,89.0,296,4.8,224.9,not_sufficient,near_spoiled
pancakes,5.3,60.4,272,3.9,597.1,sufficient,near_spoiled
ice_cream,2.9,73.8,143,2.2,599.7,sufficient,fine
caesar_salad,5.0,75.8,707,6.4,205.3,not_sufficient,spoiled
hot_dog,0.5,67.0,167,0.0,300.7,sufficient,fine
edamame,4.1,86.5,163,2.2,444.2,sufficient,fine
french_onion_soup,6.7,67.5,177,0.6,164.2,not_sufficient,fine
ramen,4.1,66.8,200,6.4,536.9,sufficient,near_spoiled
fish_and_chips,4.4,80.6,135,4.4,131.5,not_sufficient,fine
onion_rings,2.6,77.8,187,0.0,445.3,sufficient,fine
strawberry_shortcake,6.7,76.6,175,0.0,172.2,not_sufficient,fine
