index,food_type,weight_g,temperature_C,humidity_%,gas_ppm,days_since_added,condition,sufficient
33554,hummus,483.0,0.4,72.1,2.2,6,near_spoiled,sufficient
9428,cheese_plate,258.6,6.0,67.8,5.6,3,fine,not_sufficient
200,apple-pie,324.5,1.8,52.0,24.5,2,near_spoiled,sufficient
12448,chicken_wings,343.4,4.4,44.1,6.0,0,fine,sufficient
39490,onion_rings,333.2,1.6,46.1,3.9,1,fine,sufficient
42725,ramen,432.3,3.1,58.1,6.3,5,near_spoiled,sufficient
10823,cheesecake,477.7,4.6,56.6,7.5,3,fine,sufficient
49499,waffles,145.2,4.1,79.1,7.3,6,near_spoiled,not_sufficient
4145,bread_pudding,234.0,5.4,42.4,5.7,6,near_spoiled,not_sufficient
36959,macaroni_and_cheese,298.2,4.8,62.9,3.7,2,fine,not_sufficient
43107,risotto,406.5,6.9,59.8,9.5,1,near_spoiled,sufficient
38696,omelette,240.5,8.0,68.9,8.4,0,near_spoiled,not_sufficient
6189,caesar_salad,341.9,3.5,20.0,19.3,0,near_spoiled,sufficient
1415,baklava,397.0,5.2,55.8,3.5,1,fine,sufficient
18472,dumplings,447.8,4.8,58.3,8.2,0,fine,sufficient
29283,greek_salad,275.3,4.9,49.1,23.2,2,near_spoiled,not_sufficient
15178,cup_cakes,507.8,7.2,41.1,2.2,5,near_spoiled,sufficient
34305,ice_cream,300.2,0.9,31.0,5.3,3,fine,sufficient
12610,chicken_wings,164.5,3.7,46.8,7.4,2,fine,not_sufficient
12145,chicken_wings,364.8,7.4,74.4,8.1,5,near_spoiled,sufficient
6114,caesar_salad,298.4,7.2,50.1,21.8,0,near_spoiled,not_sufficient
15909,cup_cakes,365.0,7.1,45.1,3.8,2,near_spoiled,sufficient
822,apple-pie,389.2,4.7,73.1,15.0,2,fine,sufficient
15119,cup_cakes,363.6,4.2,36.5,6.3,5,near_spoiled,sufficient
13467,chocolate_cake,532.5,7.3,82.1,4.5,6,near_spoiled,sufficient
26498,fried_calamari,378.8,6.2,80.2,5.6,2,near_spoiled,sufficient
42112,ramen,366.3,7.0,48.2,3.9,0,near_spoiled,sufficient
30189,grilled_salmon,125.8,6.0,52.8,5.3,5,near_spoiled,not_sufficient
37238,nachos,351.3,6.1,33.5,6.2,5,near_spoiled,sufficient
33110,hummus,356.1,6.9,66.5,4.6,2,near_spoiled,sufficient
36481,macaroni_and_cheese,198.1,9.2,48.9,6.4,2,spoiled,not_sufficient
24149,french_onion_soup,534.5,0.4,58.2,5.0,2,fine,sufficient
5504,breakfast_burrito,386.5,3.8,20.0,5.9,3,fine,sufficient
3919,beef_salad,390.5,3.0,72.0,24.8,1,near_spoiled,sufficient
38479,omelette,383.0,7.7,60.7,3.2,0,near_spoiled,sufficient
21124,filet_mignon,475.0,6.6,49.6,5.2,0,near_spoiled,sufficient
49718,waffles,343.4,2.7,37.0,8.1,1,fine,sufficient
42295,ramen,238.2,1.5,77.1,3.8,6,near_spoiled,not_sufficient
47610,strawberry_shortcake,238.2,2.9,86.4,4.2,1,fine,not_sufficient
11077,chicken_curry,177.2,4.9,71.1,3.8,2,fine,not_sufficient
41515,pizza,292.9,6.4,48.8,4.8,5,near_spoiled,not_sufficient
22063,fish_and_chips,448.5,3.9,58.8,5.8,7,spoiled,sufficient
9414,cheese_plate,352.2,8.0,51.7,1.4,1,near_spoiled,sufficient
38341,omelette,364.7,3.6,40.8,5.4,7,spoiled,sufficient
30264,grilled_salmon,378.3,3.1,81.4,6.3,6,near_spoiled,sufficient
41253,pizza,417.8,6.0,39.5,1.0,7,spoiled,sufficient
14645,creme_brulee,476.8,2.4,73.0,4.1,3,fine,sufficient
26336,fried_calamari,428.3,4.3,93.5,3.7,4,fine,sufficient
28103,garlic_bread,516.5,8.5,30.5,3.4,5,spoiled,sufficient
17524,donuts,337.0,6.3,69.3,0.8,7,spoiled,sufficient
24713,french_onion_soup,380.9,5.1,60.5,6.0,6,near_spoiled,sufficient
40486,pancakes,271.5,4.8,64.3,5.0,1,fine,not_sufficient
3851,beef_salad,340.9,6.1,79.6,15.0,0,near_spoiled,sufficient
40041,pancakes,277.6,8.1,53.6,6.6,1,spoiled,not_sufficient
15268,cup_cakes,465.4,6.6,59.7,9.9,5,near_spoiled,sufficient
49147,waffles,499.2,2.8,32.8,3.2,6,near_spoiled,sufficient
30002,grilled_salmon,470.9,5.6,37.4,3.5,6,near_spoiled,sufficient
45927,seaweed_salad,361.6,8.6,64.8,33.1,3,spoiled,sufficient
43825,risotto,350.3,3.7,78.6,4.2,7,spoiled,sufficient
17241,donuts,323.1,8.2,52.9,6.4,2,spoiled,sufficient
4893,bread_pudding,190.8,5.0,46.2,6.0,0,fine,not_sufficient
