index,food_type,class_index,weight_g,temperature_C,humidity_%,gas_ppm,days_since_added,condition,sufficient
33554,hummus,33,228.9,6.8,50.3,8.9,5,near_spoiled,not_sufficient
9428,cheese_plate,9,445.2,8.6,63.4,5.9,0,spoiled,sufficient
200,apple-pie,0,336.6,5.8,52.0,23.7,3,near_spoiled,sufficient
12448,chicken_wings,12,519.7,2.5,37.3,6.3,7,spoiled,sufficient
39490,onion_rings,39,350.3,7.3,49.4,1.3,5,near_spoiled,sufficient
42725,ramen,42,228.6,5.5,62.4,4.6,5,near_spoiled,not_sufficient
10823,cheesecake,10,332.2,1.7,51.1,3.0,2,fine,sufficient
49499,waffles,49,348.3,2.1,78.2,5.4,5,near_spoiled,sufficient
4145,bread_pudding,4,256.4,4.9,30.3,3.6,0,fine,not_sufficient
36959,macaroni_and_cheese,36,308.2,1.8,34.8,2.3,2,fine,sufficient
43107,risotto,43,245.9,6.6,48.2,4.1,2,near_spoiled,not_sufficient
38696,omelette,38,350.4,3.6,73.0,4.0,6,near_spoiled,sufficient
6189,caesar_salad,6,337.7,8.4,61.4,18.4,3,spoiled,sufficient
1415,baklava,1,355.5,5.3,29.8,4.5,1,fine,sufficient
18472,dumplings,18,390.2,4.9,70.3,17.5,3,near_spoiled,sufficient
29283,greek_salad,29,202.1,6.3,45.2,29.8,0,spoiled,not_sufficient
15178,cup_cakes,15,251.7,4.8,50.6,3.4,7,spoiled,not_sufficient
34305,ice_cream,34,414.9,1.6,60.2,3.5,1,fine,sufficient
12610,chicken_wings,12,441.2,2.5,52.6,6.0,3,fine,sufficient
12145,chicken_wings,12,386.6,3.5,89.6,6.3,2,fine,sufficient
6114,caesar_salad,6,381.3,4.6,73.1,21.0,1,near_spoiled,sufficient
15909,cup_cakes,15,401.8,5.7,46.5,1.7,7,spoiled,sufficient
822,apple-pie,0,466.1,5.3,59.9,18.5,2,near_spoiled,sufficient
15119,cup_cakes,15,178.7,2.2,55.0,2.1,1,fine,not_sufficient
13467,chocolate_cake,13,512.4,9.4,63.4,5.0,6,spoiled,sufficient
26498,fried_calamari,26,268.3,4.7,61.9,6.6,5,near_spoiled,not_sufficient
42112,ramen,42,488.6,4.7,60.7,3.1,2,fine,sufficient
30189,grilled_salmon,30,232.2,5.4,53.4,7.3,2,fine,not_sufficient
37238,nachos,37,365.0,2.6,100.0,4.2,0,fine,sufficient
33110,hummus,33,280.9,5.1,40.6,2.5,7,spoiled,not_sufficient
36481,macaroni_and_cheese,36,361.5,0.0,52.9,4.6,4,fine,sufficient
24149,french_onion_soup,24,349.2,8.3,70.5,8.3,6,spoiled,sufficient
5504,breakfast_burrito,5,646.0,2.1,64.4,6.2,3,fine,sufficient
3919,beef_salad,3,267.3,5.0,63.6,24.3,2,near_spoiled,not_sufficient
38479,omelette,38,280.0,4.6,50.7,3.6,3,fine,not_sufficient
21124,filet_mignon,21,344.2,2.3,62.0,7.4,0,fine,sufficient
49718,waffles,49,340.0,6.2,78.2,7.6,1,near_spoiled,sufficient
42295,ramen,42,248.3,0.7,63.8,3.0,5,near_spoiled,not_sufficient
47610,strawberry_shortcake,47,364.4,8.5,57.4,6.0,3,spoiled,sufficient
11077,chicken_curry,11,619.9,8.8,44.4,5.8,7,spoiled,sufficient
41515,pizza,41,173.6,5.3,41.4,3.8,4,fine,not_sufficient
22063,fish_and_chips,22,288.2,5.8,85.7,2.0,0,fine,not_sufficient
9414,cheese_plate,9,173.8,3.1,85.0,3.9,2,fine,not_sufficient
38341,omelette,38,408.7,4.4,72.9,5.5,5,near_spoiled,sufficient
30264,grilled_salmon,30,404.5,6.8,71.3,2.0,7,spoiled,sufficient
41253,pizza,41,414.7,6.6,58.3,6.3,6,near_spoiled,sufficient
14645,creme_brulee,14,394.5,1.5,34.7,2.4,4,fine,sufficient
26336,fried_calamari,26,501.2,5.0,68.0,5.0,7,spoiled,sufficient
28103,garlic_bread,28,226.4,7.1,41.1,1.0,2,near_spoiled,not_sufficient
17524,donuts,17,178.4,6.4,68.4,3.1,2,near_spoiled,not_sufficient
24713,french_onion_soup,24,417.6,4.7,39.3,4.5,5,near_spoiled,sufficient
40486,pancakes,40,290.4,5.0,70.9,2.9,6,near_spoiled,not_sufficient
3851,beef_salad,3,452.2,3.7,76.4,17.7,3,near_spoiled,sufficient
40041,pancakes,40,229.8,2.3,57.4,6.5,2,fine,not_sufficient
15268,cup_cakes,15,275.7,6.8,69.3,4.3,7,spoiled,not_sufficient
49147,waffles,49,397.0,5.9,60.8,5.0,2,fine,sufficient
30002,grilled_salmon,30,322.7,3.3,77.3,3.1,5,near_spoiled,sufficient
45927,seaweed_salad,45,337.0,2.3,55.2,17.8,1,near_spoiled,sufficient
43825,risotto,43,238.3,0.8,66.9,5.1,7,spoiled,not_sufficient
17241,donuts,17,339.6,3.5,71.5,5.5,7,spoiled,sufficient
4893,bread_pudding,4,261.6,2.1,37.9,7.9,4,fine,not_sufficient
726,apple-pie,0,559.4,6.6,50.6,21.5,1,near_spoiled,sufficient
22950,fish_and_chips,22,266.6,4.4,85.2,6.6,4,fine,not_sufficient
34658,ice_cream,34,385.8,1.7,63.0,7.8,5,near_spoiled,sufficient
37214,nachos,37,488.9,5.1,69.6,2.1,1,fine,sufficient
20305,falafel,20,475.1,3.4,53.8,3.8,1,fine,sufficient
15270,cup_cakes,15,355.2,6.0,74.0,6.2,4,fine,sufficient
22368,fish_and_chips,22,216.5,3.5,46.1,4.7,5,near_spoiled,not_sufficient
42685,ramen,42,240.8,5.0,49.4,5.5,3,fine,not_sufficient
46735,spaghetti_carbonara,46,326.7,6.5,69.1,5.3,3,near_spoiled,sufficient
11733,chicken_curry,11,508.0,4.1,55.4,6.2,1,fine,sufficient
18620,dumplings,18,326.9,2.2,97.0,19.7,7,spoiled,sufficient
48493,sushi,48,470.4,5.0,31.1,4.6,3,fine,sufficient
26804,fried_calamari,26,307.2,3.9,62.9,6.7,4,fine,sufficient
44306,sashimi,44,370.2,5.3,49.3,6.9,2,fine,sufficient
47523,strawberry_shortcake,47,253.9,7.1,65.1,3.5,1,near_spoiled,not_sufficient
32208,hot_dog,32,315.5,5.3,60.0,8.7,0,fine,sufficient
2531,beef_carpaccio,2,178.2,6.3,64.6,6.5,3,near_spoiled,not_sufficient
17747,donuts,17,276.7,5.1,28.4,7.5,4,fine,not_sufficient
8271,ceviche,8,235.8,4.0,73.1,1.4,2,fine,not_sufficient
15080,cup_cakes,15,380.7,5.2,77.9,3.4,1,fine,sufficient
13625,chocolate_cake,13,303.0,4.0,41.2,5.3,3,fine,sufficient
30639,grilled_salmon,30,360.0,7.7,63.3,5.3,3,near_spoiled,sufficient
30441,grilled_salmon,30,363.9,4.3,42.4,6.3,4,fine,sufficient
36057,macaroni_and_cheese,36,309.0,4.3,70.4,4.2,0,fine,sufficient
42652,ramen,42,323.4,6.0,64.9,1.1,0,fine,sufficient
36804,macaroni_and_cheese,36,315.6,5.3,35.2,5.4,7,spoiled,sufficient
48225,sushi,48,339.4,4.2,46.6,6.9,2,fine,sufficient
29227,greek_salad,29,435.0,6.5,94.0,27.5,3,spoiled,sufficient
5634,breakfast_burrito,5,423.3,2.9,82.9,6.3,3,fine,sufficient
5988,breakfast_burrito,5,422.4,5.4,71.9,5.7,3,fine,sufficient
48064,sushi,48,109.3,4.6,34.7,0.4,1,fine,not_sufficient
1813,baklava,1,305.0,3.5,38.9,7.3,1,fine,sufficient
27579,fried_rice,27,427.3,7.7,59.1,4.4,2,near_spoiled,sufficient
16824,deviled_eggs,16,283.0,6.0,97.5,2.6,0,fine,not_sufficient
3929,beef_salad,3,306.7,3.7,65.5,17.9,3,near_spoiled,sufficient
37287,nachos,37,360.6,5.8,96.6,3.2,7,spoiled,sufficient
25046,french_toast,25,163.4,2.7,77.1,5.9,2,fine,not_sufficient
15728,cup_cakes,15,307.2,2.9,28.7,1.2,5,near_spoiled,sufficient
29601,greek_salad,29,332.4,6.2,50.5,18.7,0,near_spoiled,sufficient
10431,cheesecake,10,214.7,4.6,53.1,4.0,7,spoiled,not_sufficient
25769,french_toast,25,711.1,5.8,68.8,2.7,4,fine,sufficient
29104,greek_salad,29,459.2,1.9,74.0,20.8,1,near_spoiled,sufficient
36538,macaroni_and_cheese,36,473.4,7.0,74.1,5.3,7,spoiled,sufficient
39329,onion_rings,39,311.6,6.5,56.1,5.2,3,near_spoiled,sufficient
35540,lobster_roll_sandwich,35,250.8,7.3,70.5,3.7,5,near_spoiled,not_sufficient
28076,garlic_bread,28,405.1,5.6,34.5,5.3,5,near_spoiled,sufficient
17841,donuts,17,419.9,2.6,71.6,4.5,3,fine,sufficient
27803,fried_rice,27,416.6,7.4,64.0,5.4,5,near_spoiled,sufficient
7683,carrot_cake,7,202.7,1.8,63.1,26.8,5,spoiled,not_sufficient
24280,french_onion_soup,24,365.8,2.6,39.9,5.4,0,fine,sufficient
33071,hummus,33,153.6,3.9,52.2,4.5,4,fine,not_sufficient
35558,lobster_roll_sandwich,35,403.0,4.4,68.7,5.4,0,fine,sufficient
37190,nachos,37,479.1,4.4,47.6,2.9,4,fine,sufficient
47150,strawberry_shortcake,47,367.7,5.9,68.3,8.0,5,near_spoiled,sufficient
46916,spaghetti_carbonara,46,322.5,2.3,83.3,4.0,0,fine,sufficient
9802,cheese_plate,9,351.2,4.7,51.0,5.8,5,near_spoiled,sufficient
38801,omelette,38,276.5,6.2,44.2,5.6,2,near_spoiled,not_sufficient
24670,french_onion_soup,24,587.3,6.5,85.3,5.9,3,near_spoiled,sufficient
44234,sashimi,44,266.3,3.0,57.7,3.6,7,spoiled,not_sufficient
31920,hot_and_sour_soup,31,386.4,1.7,79.0,4.8,4,fine,sufficient
7135,carrot_cake,7,473.4,7.4,37.1,17.6,7,spoiled,sufficient
33705,hummus,33,342.4,8.5,44.2,4.1,1,spoiled,sufficient
29661,greek_salad,29,583.1,5.7,63.4,21.9,3,near_spoiled,sufficient
17894,donuts,17,429.2,6.5,36.7,5.9,5,near_spoiled,sufficient
22019,fish_and_chips,22,296.4,2.8,70.7,6.9,0,fine,not_sufficient
13539,chocolate_cake,13,391.9,3.0,47.9,3.1,1,fine,sufficient
43119,risotto,43,368.6,4.1,64.6,7.2,0,fine,sufficient
36421,macaroni_and_cheese,36,445.3,4.3,37.6,5.0,7,spoiled,sufficient
9406,cheese_plate,9,225.5,2.7,39.0,4.4,5,near_spoiled,not_sufficient
